"","Site","Day","totalAdult","trainValidate","dailyTotalPrecip","dailyPrecipExpUncert","dailyMaxRH","dailyMinRH","dailyAvgExpUncertRH","dailyMaxAirTemp","dailyMinAirTemp","dailyAvgExpUncert"
"1","OSBS","2014-04-17",21,"Train",NA,NA,NA,NA,NA,22.6219,12.0744,0.0155425694444444
"2","OSBS","2014-05-12",9,"Train",NA,NA,NA,NA,NA,30.0336,19.3939,0.0141653472222222
"3","OSBS","2014-06-04",5,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"4","SCBI","2014-06-09",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"5","SCBI","2014-06-10",6,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"6","SCBI","2014-06-11",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"7","OSBS","2014-06-24",2,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"8","ORNL","2014-06-26",6,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"9","OSBS","2014-06-27",3,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"10","SCBI","2014-07-01",2,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"11","ORNL","2014-07-16",2,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"12","OSBS","2014-07-18",3,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"13","SCBI","2014-07-25",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"14","SCBI","2014-07-28",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"15","OSBS","2014-08-04",8,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"16","SCBI","2014-08-11",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"17","SCBI","2014-08-13",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"18","ORNL","2014-08-25",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"19","SCBI","2014-09-02",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"20","SCBI","2014-09-03",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"21","OSBS","2014-09-05",3,"Train",NA,NA,NA,NA,NA,30.7413,22.0724,0.0209970138888889
"22","ORNL","2014-09-16",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"23","OSBS","2014-09-17",1,"Train",NA,NA,NA,NA,NA,29.3004,21.6165,0.020798125
"24","SCBI","2014-09-30",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"25","ORNL","2014-10-06",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"26","ORNL","2014-10-09",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"27","ORNL","2014-10-28",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"28","ORNL","2014-12-08",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"29","SCBI","2015-04-13",4,"Train",NA,NA,NA,NA,NA,23.1446,11.6216,0.0130527777777778
"30","SCBI","2015-05-04",2,"Train",NA,NA,NA,NA,NA,26.5165,19.6857,0.0205013194444444
"31","SERC","2015-05-04",10,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"32","SERC","2015-05-05",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"33","ORNL","2015-05-06",8,"Train",NA,NA,NA,NA,NA,27.7851,17.1676,0.0228727777777778
"34","SERC","2015-05-18",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"35","SERC","2015-05-19",4,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"36","SCBI","2015-05-26",5,"Train",NA,NA,NA,NA,NA,27.0552,18.5477,0.023460625
"37","SCBI","2015-05-27",1,"Train",NA,NA,NA,NA,NA,25.9766,19.5229,0.0191928472222222
"38","ORNL","2015-05-29",5,"Train",NA,NA,NA,NA,NA,27.0308,18.4381,0.0193709722222222
"39","SERC","2015-06-08",5,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"40","OSBS","2015-06-10",13,"Train",NA,NA,NA,NA,NA,31.1007,21.0258,0.0184242361111111
"41","SERC","2015-06-10",4,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"42","OSBS","2015-06-11",0,"Train",NA,NA,NA,NA,NA,31.9147,21.1485,0.0196014583333333
"43","ORNL","2015-06-18",3,"Train",NA,NA,NA,NA,NA,30.6989,22.5556,0.0197206944444444
"44","SERC","2015-06-29",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"45","SERC","2015-06-30",2,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"46","OSBS","2015-07-01",8,"Train",NA,NA,NA,NA,NA,31.6685,20.987,0.0190335877862595
"47","ORNL","2015-07-09",2,"Train",NA,NA,NA,NA,NA,30.4484,22.03,0.0191251388888889
"48","SCBI","2015-07-10",0,"Train",NA,NA,93.13,64.1,2.20307638888889,26.4508,19.8033,0.0176852777777778
"49","SERC","2015-07-20",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"50","OSBS","2015-07-22",7,"Train",NA,NA,NA,NA,NA,33.7399,22.8833,0.0240926388888889
"51","SERC","2015-07-22",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"52","OSBS","2015-07-23",0,"Train",NA,NA,NA,NA,NA,30.03,23.3439,0.0213860215053763
"53","SCBI","2015-07-27",0,"Train",NA,NA,99.67,65.81,2.20133333333333,27.1036,21.2976,0.0231759722222222
"54","SCBI","2015-07-29",0,"Train",NA,NA,102,74.68,2.20093906810036,27.4202,20.4062,0.0231683333333333
"55","SCBI","2015-07-31",0,"Train",NA,NA,63.79,37.85,2.20488194444444,27.2664,21.0845,0.0240534027777778
"56","SERC","2015-08-12",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"57","SERC","2015-08-13",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"58","OSBS","2015-08-13",0,"Train",NA,NA,NA,NA,NA,31.392,23.8766,0.01961875
"59","ORNL","2015-08-17",0,"Train",NA,NA,NA,NA,NA,26.4379,21.2319,0.0192000836820084
"60","SCBI","2015-08-18",0,"Train",NA,NA,99.42,53.35,2.20276388888889,28.0067,21.7685,0.0267265972222222
"61","SERC","2015-08-31",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"62","OSBS","2015-09-01",0,"Train",NA,NA,NA,NA,NA,31.2543,23.407,0.0195242886884108
"63","SERC","2015-09-01",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"64","SERC","2015-09-02",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"65","SCBI","2015-09-08",0,"Train",NA,NA,79.36,40.71,2.20136805555556,29.6505,22.3292,0.0254684283727399
"66","SCBI","2015-09-09",0,"Train",NA,NA,80.71,53.85,2.20238888888889,28.5653,23.5661,0.024441875
"67","ORNL","2015-09-14",0,"Train",NA,NA,NA,NA,NA,23.3334,8.032,0.0191022857142857
"68","SERC","2015-09-21",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"69","SERC","2015-09-22",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"70","ORNL","2015-10-06",0,"Train",NA,NA,NA,NA,NA,27.2058,16.8855,0.0193602564102564
"71","OSBS","2015-10-22",0,"Train",NA,NA,NA,NA,NA,27.8933,19.4402,0.0223219632768362
"72","SCBI","2016-03-08",0,"Train",NA,NA,NA,NA,NA,23.0996,15.1637,0.0263496483825598
"73","ORNL","2016-03-09",2,"Train",NA,NA,72.47,32.07,2.20003819444444,24.2245,14.9733,0.0193257928118393
"74","SCBI","2016-03-09",0,"Train",NA,NA,NA,NA,NA,25.9562,16.2895,0.0281735024665257
"75","OSBS","2016-03-10",10,"Train",NA,NA,98.72,40.44,2.20021527777778,28.9418,17.5517,0.0205262411347518
"76","SERC","2016-03-22",0,"Train",NA,NA,99.04,22.48,2.20154199011997,15.7039,3.9352,0.0109587155963303
"77","ORNL","2016-03-28",5,"Train",NA,NA,99.14,32.02,2.20046527777778,17.9877,9.0567,0.0137800282286521
"78","SCBI","2016-03-29",1,"Train",NA,NA,70.47,26.26,2.2000625,12.4306,5.406,0.0202505345687812
"79","OSBS","2016-03-30",32,"Train",NA,NA,94.94,47.93,2.20032638888889,26.5091,15.7354,0.0209
"80","SCBI","2016-03-30",0,"Train",NA,NA,39.64,26.51,2.2,16.118,5.1887,0.0184487252124646
"81","SERC","2016-04-14",1,"Train",NA,NA,102,25.12,2.2025,15.1524,4.9254,0.0113954096045198
"82","SERC","2016-04-15",0,"Train",NA,NA,101.99,26.17,2.20295369211514,15.6133,5.7955,0.0116798586572438
"83","ORNL","2016-04-18",3,"Train",NA,NA,62.65,16.81,2.20056944444444,28.4999,14.0485,0.0145400281888654
"84","OSBS","2016-04-20",11,"Train",NA,NA,101.39,34.47,2.20048489107519,26.9544,15.7757,0.019873987206823
"85","SCBI","2016-05-09",0,"Train",NA,NA,NA,NA,NA,17.2247,10.2791,0.0147115277777778
"86","ORNL","2016-05-12",6,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"87","OSBS","2016-05-12",21,"Train",NA,NA,96.21,33.45,2.20018214936248,32.6731,20.5916,0.0207384335154827
"88","ORNL","2016-05-13",12,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"89","SERC","2016-05-25",2,"Train",0.13,0.003,102,34.95,2.2329766536965,29.4887,18.4486,0.0111855208333333
"90","OSBS","2016-05-31",48,"Train",NA,NA,99.54,27.23,2.20034856700232,34.9188,21.1407,0.0215184931506849
"91","SCBI","2016-05-31",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"92","ORNL","2016-06-03",4,"Train",NA,NA,NA,NA,NA,28.9682,18.8063,0.0141075700227101
"93","SERC","2016-06-13",1,"Train",NA,NA,78.31,25.09,2.21050694444444,27.423,15.7688,0.0111064583333333
"94","SERC","2016-06-14",2,"Train",NA,NA,98.45,35.8,2.20547916666667,23.1757,19.262,0.0113469444444444
"95","SCBI","2016-06-22",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"96","ORNL","2016-06-23",9,"Train",NA,NA,NA,NA,NA,32.2043,23.4129,0.0138734166666667
"97","OSBS","2016-06-23",29,"Train",NA,NA,98.83,44.08,2.20051424600417,34.9248,23.5875,0.0219920767306088
"98","SERC","2016-07-06",3,"Train",0.065,0.003,102,80.08,2.20920289855072,30.2879,24.5379,0.0120885020242915
"99","OSBS","2016-07-12",3,"Train",NA,NA,96.16,40.61,2.20151388888889,35.9444,24.6068,0.0215319444444444
"100","ORNL","2016-07-13",1,"Train",NA,NA,NA,NA,NA,31.6722,20.6685,0.0140359722222222
"101","SERC","2016-07-25",1,"Train",NA,NA,NA,NA,NA,34.7393,24.0255,0.0113729166666667
"102","ORNL","2016-08-04",1,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"103","OSBS","2016-08-04",2,"Train",NA,NA,98.38,57.56,2.20151736111111,30.3512,23.8826,0.0147461805555556
"104","SCBI","2016-08-04",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"105","ORNL","2016-08-22",0,"Train",NA,NA,NA,NA,NA,27.2757,17.7133,0.0149266666666667
"106","SERC","2016-08-23",0,"Train",NA,NA,NA,NA,NA,25.9905,19.9944,0.0117809027777778
"107","OSBS","2016-08-24",5,"Train",NA,NA,98.83,39.2,2.20045486111111,33.2782,25.4732,0.0166255555555556
"108","SCBI","2016-08-24",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"109","SERC","2016-09-07",0,"Train",NA,NA,NA,NA,NA,29.3587,21.9529,0.0115772916666667
"110","SERC","2016-09-08",0,"Train",NA,NA,NA,NA,NA,33.1439,22.6049,0.0112677777777778
"111","ORNL","2016-09-12",0,"Train",NA,NA,NA,NA,NA,32.011,17.2652,0.0140682638888889
"112","SCBI","2016-09-12",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"113","OSBS","2016-09-14",0,"Train",NA,NA,101.8,75.85,2.20045486111111,28.3426,22.9753,0.0140224305555556
"114","SERC","2016-09-26",0,"Train",NA,NA,NA,NA,NA,20.0481,16.4187,0.0110609027777778
"115","SCBI","2016-10-03",0,"Train",NA,NA,NA,NA,NA,21.3151,15.2638,0.0159479166666667
"116","SCBI","2016-10-04",0,"Train",NA,NA,NA,NA,NA,21.0031,13.0235,0.0163465277777778
"117","SERC","2016-10-05",0,"Train",NA,NA,NA,NA,NA,NA,NA,NA
"118","ORNL","2016-10-06",0,"Train",NA,NA,NA,NA,NA,27.3494,15.1669,0.013925
"119","ORNL","2016-10-07",0,"Train",NA,NA,NA,NA,NA,28.5145,15.0423,0.014679375
"120","ORNL","2016-10-26",0,"Train",NA,NA,74.31,29.77,2.20277777777778,23.7218,10.6296,0.0143739583333333
"121","ORNL","2016-11-02",0,"Train",NA,NA,81.61,40.33,2.20010405827263,26.0051,17.7093,0.0139329166666667
"122","OSBS","2016-11-17",0,"Train",NA,NA,98.21,31.04,2.20036458333333,24.7621,14.0908,0.0172905555555556
"123","SERC","2016-12-01",0,"Train",34.434,0.0126,99.99,39.02,2.21225884802221,17.7545,8.5763,0.012463744740533
"124","SCBI","2016-12-07",0,"Train",NA,NA,99.89,39.8,2.20418711018711,9.0992,1.1633,0.0140988194444444
"125","SCBI","2016-12-09",0,"Train",NA,NA,72.62,39.11,2.20266319444444,0.3359,-4.568,0.0127261111111111
"126","SCBI","2017-03-20",0,"Train",NA,NA,95.72,37.41,2.20702777777778,11.3452,3.4805,0.0144866877971474
"127","ORNL","2017-03-23",3,"Train",NA,NA,47.1,23.6,2.20034027777778,18.508,4.9827,0.0138345138888889
"128","SERC","2017-04-03",1,"Train",0,0,94.92,27.37,2.20161111111111,NA,NA,NA
"129","SCBI","2017-04-10",6,"Train",NA,NA,63,20.32,2.20702083333333,24.7653,15.9301,0.0154251388888889
"130","ORNL","2017-04-13",4,"Train",NA,NA,40.12,15.22,2.200125,27.7342,16.385,0.0144206192821956
"131","OSBS","2017-04-19",51,"Train",NA,NA,98.98,34,2.20027450980392,28.4113,17.2623,0.0113388288288288
"132","SERC","2017-04-27",4,"Train",0,0,99.23,51.38,2.20139686184462,24.2362,13.9363,0.0110576388888889
"133","ORNL","2017-05-03",9,"Train",NA,NA,81.63,32.64,2.20451388888889,24.5501,12.4979,0.014129375
"134","OSBS","2017-05-11",51,"Train",NA,NA,82.27,21.87,2.20025347222222,33.6175,20.3439,0.01180375
"135","SERC","2017-05-18",2,"Train",NA,NA,88.06,32.31,2.20555902777778,31.7585,22.4461,0.0112705555555556
"136","SERC","2017-05-19",8,"Train",NA,NA,95.13,32.73,2.20562847222222,32.1299,20.9788,0.0116596527777778
"137","ORNL","2017-05-26",11,"Train",NA,NA,97.43,50.54,2.2041875,25.0669,12.1963,0.0138588888888889
"138","SCBI","2017-05-30",0,"Train",NA,NA,99.41,40.14,2.20171180555556,23.4348,16.9627,0.0145477083333333
"139","SCBI","2017-05-31",7,"Train",NA,NA,99.82,25.19,2.21356597222222,26.3615,15.6103,0.0151925694444444
"140","OSBS","2017-06-01",37,"Train",NA,NA,98.62,35.78,2.20048924358085,34.0884,21.2478,0.0133970159611381
"141","SERC","2017-06-06",2,"Train",NA,NA,99.55,34.01,2.21025,24.1046,17.9339,0.0110886805555556
"142","SERC","2017-06-12",6,"Train",NA,NA,92.44,33.39,2.20254513888889,32.404,22.7291,0.0118980555555556
"143","SCBI","2017-06-13",1,"Train",NA,NA,88.28,28.89,2.20754166666667,31.6382,24.3808,0.0157549305555556
"144","ORNL","2017-06-15",1,"Train",NA,NA,99.4,64.13,2.20298226759807,24.5503,19.9544,0.0140451162790698
"145","SERC","2017-06-27",0,"Train",NA,NA,90.25,30.39,2.20509722222222,25.6784,17.953,0.011821875
"146","SERC","2017-06-28",1,"Train",NA,NA,93.33,40.26,2.20160054719562,24.2055,15.1682,0.0117604566210046
"147","SERC","2017-06-29",0,"Train",NA,NA,89.8,38.65,2.20457716701903,29.5864,17.6452,0.0121327845382963
"148","SERC","2017-06-30",4,"Train",NA,NA,86.14,40.03,2.20480902777778,30.9227,21.6415,0.0124313333333333
"149","ORNL","2017-07-03",4,"Train",NA,NA,99.05,54.98,2.20286111111111,28.0632,20.7528,0.0169933333333333
"150","OSBS","2017-07-13",0,"Train",NA,NA,98.81,57.07,2.20129861111111,30.7399,23.5884,0.0123623611111111
"151","OSBS","2017-07-17",24,"Train",NA,NA,98.67,48.53,2.20148611111111,32.2691,23.1512,0.01310875
"152","SERC","2017-07-17",1,"Train",NA,NA,97.39,46.81,2.20220138888889,28.8284,22.639,0.0128415972222222
"153","SCBI","2017-07-25",0,"Train",NA,NA,88.9,39.72,2.20685069444444,28.0518,17.0874,0.0138145833333333
"154","SCBI","2017-07-26",0,"Train",NA,NA,95.79,55.56,2.20380902777778,25.6577,16.7391,0.0146374305555556
"155","ORNL","2017-08-01",0,"Train",NA,NA,92.4,42.49,2.20198473282443,26.8774,18.6804,0.0161075641915337
"156","OSBS","2017-08-08",10,"Train",NA,NA,98.17,48.01,2.20075347222222,33.3311,23.0554,0.0147751388888889
"157","SERC","2017-08-09",0,"Train",NA,NA,98.26,30.48,2.20619097586569,26.7037,17.9471,0.0127710304054054
"158","SCBI","2017-08-10",0,"Train",NA,NA,94.12,46.16,2.20446180555556,23.6291,18.7505,0.0171957638888889
"159","SERC","2017-08-10",0,"Train",NA,NA,97.94,36.44,2.20441965841757,26.1702,18.8521,0.0132579166666667
"160","ORNL","2017-08-14",0,"Train",NA,NA,99,61.68,2.20225694444444,27.6878,22.0662,0.0155638888888889
"161","SCBI","2017-08-16",0,"Train",NA,NA,99.74,48.26,2.2056864216054,NA,NA,NA
"162","OSBS","2017-08-22",0,"Train",NA,NA,99.65,43.01,2.20084027777778,32.8127,22.9485,0.0135255555555556
"163","OSBS","2017-08-24",4,"Train",NA,NA,97,46.43,2.20047916666667,33.6867,24.2499,0.0137870138888889
"164","SCBI","2017-09-05",0,"Train",NA,NA,98.71,53.26,2.20319791666667,26.4226,18.4178,0.0235824305555556
"165","SERC","2017-09-05",0,"Train",NA,NA,97.86,48.01,2.20363348575449,28.3528,19.8523,0.0128062367115521
"166","ORNL","2017-09-07",0,"Train",NA,NA,96.2,36.96,2.20771180555556,20.0398,10.1851,0.0194232638888889
"167","SCBI","2017-09-08",0,"Train",NA,NA,92.63,32.66,2.212375,21.0197,13.5343,0.018970625
"168","OSBS","2017-09-20",1,"Train",NA,NA,98.65,40.16,2.20040277777778,32.2676,21.6546,0.013725
"169","SERC","2017-09-21",0,"Train",NA,NA,97.24,47.09,2.20142806770099,28.6202,19.2993,0.0131102205882353
"170","SERC","2017-09-22",0,"Train",NA,NA,97.51,45.3,2.20247916666667,NA,NA,NA
"171","SCBI","2017-09-25",0,"Train",NA,NA,96.35,47.88,2.20270833333333,NA,NA,NA
"172","SERC","2017-09-26",0,"Train",NA,NA,98.26,65.69,2.20067361111111,24.5762,19.861,0.0123
"173","ORNL","2017-09-28",0,"Train",NA,NA,94.2,47.94,2.20144444444444,25.9677,25.9365,0.01395
"174","SCBI","2017-09-29",0,"Train",NA,NA,86.53,28.11,2.20366631615843,12.3864,12.2821,0.0264
"175","SERC","2017-10-16",0,"Train",NA,NA,99.16,41.39,2.20673263888889,22.2865,13.1187,0.0121196336996337
"176","SERC","2017-10-17",0,"Train",NA,NA,95.93,34.51,2.20466319444444,14.4607,5.8832,0.0141824634655532
"177","OSBS","2018-03-13",1,"Train",0,0,86.59,24.28,2.20017361111111,17.0975,4.684,0.0278038189533239
"178","ORNL","2018-03-26",0,"Train",0.065,1.66666666666667e-05,89.96,41.6,2.20134027777778,12.6723,7.9006,0.0146126388888889
"179","SCBI","2018-03-26",0,"Train",0.841,0.000129166666666667,96.54,29.33,2.20318402777778,7.6569,-1.2858,0.0250913194444444
"180","SCBI","2018-03-30",0,"Train",1.884,0.0002625,92.61,44.64,2.20417536534447,22.1982,6.6044,0.0218281032078103
"181","SERC","2018-04-04",0,"Train",1.159,0.00021875,100.15,23.41,2.2028301213419,22.235,8.1302,0.0136425
"182","OSBS","2018-04-05",10,"Train",0.129,3.33333333333333e-05,93.22,31.18,2.20164236111111,23.8236,10.3444,0.0258670065549891
"183","SERC","2018-04-05",0,"Train",0,0,72.96,22.35,2.20471348707198,8.2421,1.0892,0.0118409989594173
"184","ORNL","2018-04-18",9,"Train",0,0,72.3,30.1,2.20017708333333,25.6039,12.6695,0.0191667361111111
"185","SCBI","2018-04-18",0,"Train",0.263,5.41666666666667e-05,90.04,33.91,2.20329513888889,15.3045,-0.5483,0.0249759722222222
"186","SCBI","2018-04-19",0,"Train",0.131,2.08333333333333e-05,93.03,33.93,2.20283333333333,14.5417,4.409,0.0217211111111111
"187","OSBS","2018-04-24",6,"Train",0,0,98.71,40.77,2.20138194444444,25.1113,17.2289,0.0228861837191934
"188","SERC","2018-04-30",5,"Train",0,0,93.17,13.28,2.20645486111111,20.9603,5.7235,0.0138022916666667
"189","SCBI","2018-05-03",5,"Validate",0,0,60.82,19.54,2.20382638888889,30.4966,23.5277,0.0260422222222222
"190","ORNL","2018-05-07",19,"Validate",1.103,0.000129166666666667,92.5,36.08,2.20374305555556,24.1801,13.3266,0.0191379166666667
"191","SERC","2018-05-21",9,"Validate",0,0,99.13,48.67,2.20512101910828,NA,NA,NA
"192","OSBS","2018-05-22",1,"Validate",24.115,0.000945833333333333,99.87,50.43,2.20282464846981,28.5441,21.1644,0.0226142857142857
"193","OSBS","2018-05-23",11,"Validate",0,0,99.69,37.63,2.20125694444444,31.0259,20.4184,0.0254398884239888
"194","SCBI","2018-05-29",2,"Validate",0,0,100.08,63.65,2.20185648727576,24.9604,18.7768,0.02145
"195","ORNL","2018-06-05",23,"Validate",0,0,NA,NA,NA,NA,NA,NA
"196","OSBS","2018-06-07",5,"Validate",0,0,99.61,44.16,2.20178472222222,31.1277,20.7998,0.0243768854748603
"197","SERC","2018-06-13",4,"Validate",0,0,97.78,73.29,2.20213401310998,27.1823,18.41,0.0217414057063326
"198","SCBI","2018-06-18",7,"Validate",0,0,98.26,43.24,2.20521393643032,30.9713,22.266,0.0223443055555556
"199","ORNL","2018-06-20",6,"Validate",0,0,86.72,40.1,2.20277430555556,29.886,22.1538,0.0234135416666667
"200","OSBS","2018-06-28",6,"Validate",0.193,5e-05,98.97,48.73,2.20121527777778,33.0544,24.0326,0.0240207369942197
"201","SERC","2018-07-02",8,"Validate",0,0,96.82,43.92,2.20209375,32.3355,24.1836,0.0229658333333333
"202","ORNL","2018-07-12",2,"Validate",0,0,94.93,50.06,2.20234375,30.5549,22.7918,0.0207915972222222
"203","OSBS","2018-07-17",2,"Validate",19.723,0.0014125,97.86,60.92,2.200625,30.3151,23.7369,0.0218067748764996
"204","OSBS","2018-07-19",0,"Validate",50.883,0.001275,98.69,71.72,2.20026041666667,27.827,23.5832,0.0204479644707624
"205","ORNL","2018-08-06",1,"Validate",0.065,1.66666666666667e-05,96.58,51.29,2.20271527777778,30.0058,22.2265,0.0215965833333333
"206","OSBS","2018-08-09",11,"Validate",22.855,0.000929166666666667,98.88,45.38,2.20086111111111,33.1781,23.239,0.0235471765546819
"207","SERC","2018-08-15",0,"Validate",0.13,2.08333333333333e-05,98.83,39.97,2.2050989927058,30.187,20.6972,0.0231940277777778
"208","ORNL","2018-08-23",0,"Validate",0,0,92.2,40.35,2.20441319444444,24.7784,16.0613,0.0274631944444444
"209","SCBI","2018-08-23",0,"Validate",0,0,78.75,39.12,2.20392958748222,22.2951,14.1207,0.0240844444444444
"210","SCBI","2018-08-24",0,"Validate",0.066,1.66666666666667e-05,75.67,41.03,2.20384647476012,23.5285,15.648,0.0223084722222222
"211","OSBS","2018-08-29",0,"Validate",82.256,0.00225416666666667,98.8,63.48,2.20061132337617,28.9493,21.9335,0.022284609929078
"212","OSBS","2018-08-31",6,"Validate",1.093,0.000120833333333333,100.14,54.29,2.20073241479333,31.8392,22.5805,0.022691124260355
"213","SERC","2018-09-05",1,"Validate",0,0,97.48,46.54,2.2030625,31.8864,24.0853,0.0240239583333333
"214","SERC","2018-09-05",0,"Validate",0,0,97.48,46.54,2.2030625,31.8864,24.0853,0.0240239583333333
"215","ORNL","2018-09-12",0,"Validate",0,0,97.58,48.39,2.20099713055954,30.0416,18.6332,0.0255206030150754
"216","OSBS","2018-09-18",2,"Validate",0,0,98.08,44.54,2.20051388888889,33.6992,24.5148,0.0240914464534075
"217","SCBI","2018-09-19",0,"Validate",0.066,1.66666666666667e-05,97.55,57.73,2.20648773006135,26.1405,20.3589,0.0238784572619875
"218","SCBI","2018-09-20",0,"Validate",0,0,99.48,62.55,2.2019189453125,24.6895,16.965,0.0215013888888889
"219","SERC","2018-09-20",0,"Validate",0,0,97.79,52.9,2.20074224519941,25.9505,20.0385,0.0233322916666667
"220","SERC","2018-09-21",0,"Validate",7.843,0.000385416666666667,98.79,72.14,2.200875,23.5838,18.5026,0.0208241666666667
"221","SCBI","2018-10-01",0,"Validate",0.066,1.66666666666667e-05,97.58,55.03,2.20159081242025,25.3124,17.1986,0.0277925
"222","ORNL","2018-10-03",0,"Validate",0,0,97.82,55.8,2.20105555555556,26.94,18.1252,0.0239597222222222
